__source_name,__source_id,city_raw
extracted_desc_adzuna_datajobs_2025.csv,2952,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,2971,Alice Springs Area
extracted_desc_adzuna_datajobs_2025.csv,2973,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,2986,Khancoban
extracted_desc_adzuna_datajobs_2025.csv,2988,Albury Region
extracted_desc_adzuna_datajobs_2025.csv,3002,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3026,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,3035,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,3036,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,3037,City
extracted_desc_adzuna_datajobs_2025.csv,3054,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3057,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3059,Circular Head
extracted_desc_adzuna_datajobs_2025.csv,3062,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3066,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3074,Townsville Region
extracted_desc_adzuna_datajobs_2025.csv,3079,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3084,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,3107,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3117,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,3133,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3139,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3140,North Sydney Area
extracted_desc_adzuna_datajobs_2025.csv,3174,Newcastle Area
extracted_desc_adzuna_datajobs_2025.csv,3177,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3181,Gold Coast Region
extracted_desc_adzuna_datajobs_2025.csv,3206,Newcastle Region
extracted_desc_adzuna_datajobs_2025.csv,3207,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3213,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3224,Tweed Heads Region
extracted_desc_adzuna_datajobs_2025.csv,3231,Belmont Area
extracted_desc_adzuna_datajobs_2025.csv,3241,Darwin Region
extracted_desc_adzuna_datajobs_2025.csv,3265,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3267,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3292,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3296,Melbourne Region
extracted_desc_adzuna_datajobs_2025.csv,3310,Melbourne Region
extracted_desc_adzuna_datajobs_2025.csv,3331,Guthalungra
extracted_desc_adzuna_datajobs_2025.csv,3339,Herdsman
extracted_desc_adzuna_datajobs_2025.csv,3343,Queensland
extracted_desc_adzuna_datajobs_2025.csv,3350,Guthalungra
extracted_desc_adzuna_datajobs_2025.csv,3351,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3353,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3360,Northern Beaches
extracted_desc_adzuna_datajobs_2025.csv,3366,Australian Capital Territory
extracted_desc_adzuna_datajobs_2025.csv,3369,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3401,Queensland
extracted_desc_adzuna_datajobs_2025.csv,3403,Northern Territory
extracted_desc_adzuna_datajobs_2025.csv,3406,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3410,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3414,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3416,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3421,Carole Park
extracted_desc_adzuna_datajobs_2025.csv,3435,Newcastle Region
extracted_desc_adzuna_datajobs_2025.csv,3438,Stapylton
extracted_desc_adzuna_datajobs_2025.csv,3447,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,3465,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3468,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,3469,Carina
extracted_desc_adzuna_datajobs_2025.csv,3479,Eagle Farm
extracted_desc_adzuna_datajobs_2025.csv,3480,Griffith Area
extracted_desc_adzuna_datajobs_2025.csv,3485,Hobart Region
extracted_desc_adzuna_datajobs_2025.csv,3489,Newcastle Area
extracted_desc_adzuna_datajobs_2025.csv,3494,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3495,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3496,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3504,Tamworth Region
extracted_desc_adzuna_datajobs_2025.csv,3505,Bathurst-Orange Region
extracted_desc_adzuna_datajobs_2025.csv,3510,Newcastle Area
extracted_desc_adzuna_datajobs_2025.csv,3517,North Sydney Area
extracted_desc_adzuna_datajobs_2025.csv,3529,Queensland
extracted_desc_adzuna_datajobs_2025.csv,3547,Bunbury Region
extracted_desc_adzuna_datajobs_2025.csv,3551,Bunbury Area
extracted_desc_adzuna_datajobs_2025.csv,3557,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,3562,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,3568,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3575,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3577,Maitland Area
extracted_desc_adzuna_datajobs_2025.csv,3589,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3592,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3617,Circular Head
extracted_desc_adzuna_datajobs_2025.csv,3626,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3628,Seddon West
extracted_desc_adzuna_datajobs_2025.csv,3699,Western Sydney
extracted_desc_adzuna_datajobs_2025.csv,3742,Townsville Region
extracted_desc_adzuna_datajobs_2025.csv,3757,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,3765,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3767,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3769,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,3772,North West Area
extracted_desc_adzuna_datajobs_2025.csv,3775,Darwin Region
extracted_desc_adzuna_datajobs_2025.csv,3784,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3791,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3798,Geraldton Region
extracted_desc_adzuna_datajobs_2025.csv,3824,World Trade Centre
extracted_desc_adzuna_datajobs_2025.csv,3829,Pinkenba
extracted_desc_adzuna_datajobs_2025.csv,3841,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,3850,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,3855,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3856,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,3874,Paddys Green
extracted_desc_adzuna_datajobs_2025.csv,3885,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,3897,Cowra Area
extracted_desc_adzuna_datajobs_2025.csv,3901,Toowoomba Region
extracted_desc_adzuna_datajobs_2025.csv,3903,Darwin Region
extracted_desc_adzuna_datajobs_2025.csv,3907,Subiaco Area
extracted_desc_adzuna_datajobs_2025.csv,3911,North Sydney Area
extracted_desc_adzuna_datajobs_2025.csv,3918,Inverell Area
extracted_desc_adzuna_datajobs_2025.csv,3923,Subiaco Area
extracted_desc_adzuna_datajobs_2025.csv,3970,Pinkenba
extracted_desc_adzuna_datajobs_2025.csv,3979,Coffs Harbour Region
extracted_desc_adzuna_datajobs_2025.csv,3982,Queensland
extracted_desc_adzuna_datajobs_2025.csv,3995,Stapylton
extracted_desc_adzuna_datajobs_2025.csv,4005,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4008,Griffith Area
extracted_desc_adzuna_datajobs_2025.csv,4012,Sutherland Area
extracted_desc_adzuna_datajobs_2025.csv,4028,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,4038,Bayswater Area
extracted_desc_adzuna_datajobs_2025.csv,4041,East Pilbara Area
extracted_desc_adzuna_datajobs_2025.csv,4047,Tamworth Region
extracted_desc_adzuna_datajobs_2025.csv,4065,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4067,Aeroglen
extracted_desc_adzuna_datajobs_2025.csv,4068,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4074,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4079,Wodonga Region
extracted_desc_adzuna_datajobs_2025.csv,4083,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4087,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4134,Launceston Area
extracted_desc_adzuna_datajobs_2025.csv,4138,Australian Capital Territory
extracted_desc_adzuna_datajobs_2025.csv,4167,Herdsman
extracted_desc_adzuna_datajobs_2025.csv,4172,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,4180,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,4185,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,4187,Essendon Fields
extracted_desc_adzuna_datajobs_2025.csv,4272,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,4275,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,4277,North Sydney Area
extracted_desc_adzuna_datajobs_2025.csv,4278,Queensland
extracted_desc_adzuna_datajobs_2025.csv,4288,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4301,Melbourne Region
extracted_desc_adzuna_datajobs_2025.csv,4310,City
extracted_desc_adzuna_datajobs_2025.csv,4326,Gold Coast Region
extracted_desc_adzuna_datajobs_2025.csv,4329,Mildura Region
extracted_desc_adzuna_datajobs_2025.csv,4333,Hervey Bay Region
extracted_desc_adzuna_datajobs_2025.csv,4334,Sunshine Coast Region
extracted_desc_adzuna_datajobs_2025.csv,4342,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,4407,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4408,Stirling Area
extracted_desc_adzuna_datajobs_2025.csv,4416,Hume
extracted_desc_adzuna_datajobs_2025.csv,4418,Muswellbrook Area
extracted_desc_adzuna_datajobs_2025.csv,4419,Gloucester Area
extracted_desc_adzuna_datajobs_2025.csv,4434,Burnie-Devonport Region
extracted_desc_adzuna_datajobs_2025.csv,4438,Busselton Area
extracted_desc_adzuna_datajobs_2025.csv,4481,Fyshwick
extracted_desc_adzuna_datajobs_2025.csv,4523,Albury Region
