__source_name,__source_id,city,country,country_iso,latitude,longitude,population
normalized_extracted_hf_data_jobs.csv,26030,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,26233,Windhoek,,,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,26890,Taichung,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,27374,Birkirkara,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,27604,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,27802,Quatre Bornes,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,28156,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,28343,Taichung,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,28558,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,29150,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,29218,Port Louis,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,29313,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,29717,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,29812,Floriana,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,30983,Taoyuan City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,31529,Le Port,,RE,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,31880,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,32080,Qormi,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,32792,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,34781,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,34851,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35187,Birkirkara,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35222,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35360,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35458,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35547,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,35709,Ta' Xbiex,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,36765,Santa Venera,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,37078,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,37382,Santa Venera,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,39234,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,39526,Vacoas,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,39749,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,40196,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,40672,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,41484,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,41980,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,42035,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,42287,Port Louis,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,45340,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,45535,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,45865,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,48385,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,48428,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,48805,Ta' Xbiex,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,48946,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,50436,Sliema,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,50671,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,51650,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,52267,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,52421,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,52610,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,53177,Quatre Bornes,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,54161,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,54627,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,55042,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,56555,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,56635,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,56973,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,58001,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,58982,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,58983,Floriana,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,59925,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,60507,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,61040,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,63091,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,64672,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,64869,Roche Caiman,,SC,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,65795,Quatre Bornes,,MU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,68559,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,68607,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,69781,Hsinchu,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,69929,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,70433,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,70726,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,71608,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,72056,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,72099,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,72715,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,75501,Birkirkara,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,75832,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,76228,Taoyuan City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,77132,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,77893,Tamuning,,GU,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,78306,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,79637,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,79785,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,79921,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,80353,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,80932,Hsinchu,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,81775,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82022,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82193,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82271,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82393,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82752,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,82793,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,83624,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,83738,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,84388,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,85687,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,86068,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,86388,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,86669,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,86748,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,87082,Roche Caiman,,SC,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,87643,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,88279,New Taipei City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,89139,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,89444,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,90091,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,90480,Taoyuan City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,90543,__UNMATCHED__,__NA__,__NA__,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,92605,Taipei,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,94956,Shenzhen,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,95292,Rabat,,MT,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,95337,Taoyuan City,,TW,__NA__,__NA__,__NA__
normalized_extracted_hf_data_jobs.csv,95607,New Taipei City,,TW,__NA__,__NA__,__NA__
